Participant,Modality,MD,PD,TD,P,E,F
10,A,13,3,10,5,17,12
10,V,19,20,11,9,17,17
10,S,11,4,6,3,14,14
09,V,12,5,9,10,8,10
09,S,9,4,6,12,11,8
09,A,7,4,5,13,10,4
05,V,15,6,4,14,17,17
05,A,18,1,4,10,18,18
05,S,15,1,4,10,13,15
04,A,17,1,18,14,18,11
04,S,16,1,7,11,11,11
04,V,15,1,9,6,11,16
11,A,11,1,5,3,11,5
11,S,11,1,17,8,19,21
11,V,21,21,11,19,21,21
07,A,13,6,4,10,12,14
07,V,13,8,4,11,12,13
07,S,11,7,4,10,11,11
06,A,16,4,15,15,16,15
06,S,9,7,10,10,11,10
06,V,12,13,11,15,12,16
02,V,6,7,9,6,9,6
02,S,15,6,16,7,9,7
02,A,18,14,17,16,17,17
01,S,10,4,5,5,4,7
01,V,14,4,6,9,6,14
01,A,18,4,13,14,12,19
03,A,12,10,14,5,12,14
03,S,12,10,11,5,8,6
03,V,12,14,14,13,15,6